범죄대분류,범죄중분류,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,일,월,화,수,목,금,토
강력범죄,살인기수,21,37,30,47,37,40,51,57,45,41,60,58,59,59,39,49
강력범죄,살인미수등,52,48,43,54,46,72,85,99,65,94,80,65,101,85,68,71
강력범죄,강도,232,262,79,105,97,91,145,184,251,229,223,205,183,205,206,195
강력범죄,강간,601,734,320,340,273,267,331,596,1689,875,670,691,683,629,699,904
강력범죄,유사강간,71,72,39,19,36,30,45,55,151,92,58,67,76,54,66,105
강력범죄,강제추행,1460,1575,1213,890,1011,1374,1804,2596,3136,2237,2059,2040,2058,2027,2229,2409
강력범죄,기타 강간 강제추행등,63,72,23,36,32,45,53,54,180,93,76,78,81,65,75,90
강력범죄,방화,186,164,114,149,157,190,253,302,158,246,268,232,223,226,231,247
절도범죄,절도,19591,19544,16573,26273,29383,32602,35746,30550,35591,33217,34039,33443,34908,33668,37363,39215
폭력범죄,상해,5536,4464,2792,3757,3619,4594,5967,9874,7402,7187,6318,6773,6668,6566,6932,7561
폭력범죄,폭행,20562,16200,8169,9794,9944,12511,19528,35870,16700,23780,18515,20048,20088,20354,21334,25159
폭력범죄,체포 감금,65,68,45,136,97,126,142,150,199,126,147,157,165,152,140,141
폭력범죄,협박,540,400,467,1045,879,998,1289,1395,2174,1242,1342,1376,1323,1303,1371,1230
폭력범죄,약취 유인,6,5,10,22,23,35,21,21,47,23,33,23,27,30,32,22
폭력범죄,폭력행위등,4878,4422,2023,2292,2242,3055,4434,7543,4797,6158,4626,4760,4788,4647,4808,5899
폭력범죄,공갈,143,85,93,313,291,387,510,417,1357,439,532,579,495,546,548,457
폭력범죄,손괴,5681,4597,3860,5208,4560,6117,10103,11968,6883,8864,7654,7896,8169,7981,8603,9810
지능범죄,직무유기,5,3,4,110,50,25,7,10,293,31,99,104,85,69,81,38
지능범죄,직권남용,11,16,2,98,28,29,18,24,175,40,81,50,72,71,57,30
지능범죄,증수뢰,0,0,1,27,13,6,16,5,179,22,42,44,30,38,49,22
지능범죄,통화,18,21,58,334,187,179,86,50,889,80,368,324,331,318,311,90
지능범죄,문서 인장,201,143,118,2866,1073,566,402,385,8792,806,2823,2443,2465,2480,2459,1070
지능범죄,유가증권인지,0,3,0,58,33,18,10,1,159,17,46,49,44,53,47,26
지능범죄,사기,5435,3870,2687,42233,23620,16566,11737,10452,130693,18943,41581,41723,40939,40262,41122,22723
지능범죄,횡령,1943,1671,1514,6648,4206,4043,4149,4288,18272,5289,6987,6852,6919,6773,7470,6444
지능범죄,배임,16,2,2,998,373,77,36,13,2772,289,738,711,747,710,777,317
풍속범죄,성풍속범죄,525,383,1094,1182,1406,2086,1992,1919,5632,1832,2322,2451,2487,2507,2456,2164
풍속범죄,도박범죄,264,181,105,478,545,1082,1461,1556,2600,1070,1141,1166,1213,1170,1315,1197
특별경제범죄,특별경제범죄,2830,2176,1841,10190,7687,7436,7112,10380,36677,8919,13867,13765,13872,13451,13090,9365
마약범죄,마약범죄,178,135,92,476,578,572,611,548,3221,729,1082,1003,984,980,901,732
보건범죄,보건범죄,530,299,134,1905,1163,1518,990,1693,6370,983,2439,2607,2574,2460,2189,1350
환경범죄,환경범죄,29,32,80,747,282,305,79,64,1337,205,491,536,556,471,473,223
교통범죄,교통범죄,42233,35125,49475,59046,60036,73760,83198,152143,41649,77266,79700,84929,84795,85819,92973,91183
노동범죄,노동범죄,22,10,3,222,43,21,25,89,710,60,235,208,218,202,155,67
안보범죄,안보범죄,4,5,7,14,16,8,9,3,55,11,29,16,17,23,15,10
선거범죄,선거범죄,1,1,24,148,56,38,32,12,448,76,133,123,143,107,103,75
병역범죄,병역범죄,25,0,32,3017,720,119,59,30,14724,219,4578,4515,2744,3319,3157,194
기타범죄,기타범죄,10602,8094,9178,29494,18949,18350,16976,24489,80065,22843,32957,33861,33968,33071,33180,26317
