범죄대분류,범죄중분류,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,일,월,화,수,목,금,토
강력범죄,살인기수,30,32,32,36,39,51,41,60,35,50,55,43,61,40,54,53
강력범죄,살인미수등,47,38,42,53,62,70,67,131,48,91,86,78,81,70,81,71
강력범죄,강도,147,200,78,71,103,86,136,142,186,167,157,166,165,163,175,156
강력범죄,강간,695,743,366,301,294,287,405,703,1361,873,655,701,655,615,760,896
강력범죄,유사강간,68,80,39,44,29,54,47,78,144,86,67,93,82,65,82,108
강력범죄,강제추행,1771,1737,1282,992,1112,1513,2084,2926,2637,2373,2091,2122,2128,2228,2471,2641
강력범죄,기타 강간 강제추행등,47,53,17,25,25,34,42,55,110,62,56,61,51,52,58,68
강력범죄,방화,173,185,106,130,144,157,217,265,125,229,218,211,193,223,221,207
절도범죄,절도범죄,15516,15827,13871,22842,26339,28529,29447,25121,25545,28759,27683,27628,27861,27809,30852,32445
 폭력범죄,상해,6054,4735,3027,3982,3839,4687,6470,10354,6880,7820,6594,6886,6853,6770,7161,7944
 폭력범죄,폭행,22672,18194,9597,11261,11586,14027,21765,39182,17519,27162,20470,21793,22403,22168,23728,28079
 폭력범죄,체포 감금,103,92,103,146,128,169,183,200,194,175,208,191,209,179,188,168
 폭력범죄,협박,1081,797,1047,1810,1710,1973,2279,2711,2462,2349,2197,2254,2268,2231,2242,2329
 폭력범죄,약취 유인,7,9,9,28,26,33,31,14,44,28,30,31,36,17,29,30
 폭력범죄,폭력행위등,2136,2002,758,667,741,979,1427,2651,1941,2445,1586,1685,1667,1654,1845,2420
 폭력범죄,공갈,161,106,88,353,326,435,449,381,1446,413,549,573,546,566,548,550
 폭력범죄,손괴,5793,4615,3924,5178,4860,6210,9796,11768,6983,8865,7787,7974,7949,7990,8839,9723
지능범죄,직무유기,3,5,7,132,38,19,11,9,307,43,99,89,91,86,94,29
지능범죄,직권남용,16,10,11,76,44,29,20,33,198,25,66,77,76,88,64,41
지능범죄,증수뢰,3,1,3,37,13,11,11,8,173,24,49,32,51,36,52,16
지능범죄,통화,18,17,49,339,157,174,89,48,920,57,332,332,312,343,356,79
지능범죄,문서 인장,215,151,85,2525,992,528,392,469,7938,874,2427,2232,2245,2157,2294,1066
지능범죄,유가증권인지,0,3,0,50,24,5,4,0,133,7,47,45,37,32,38,13
지능범죄,사기,5252,3886,2794,41443,24374,16628,11863,10968,124405,19759,39426,40183,40326,40052,39638,22229
지능범죄,횡령,2269,1968,1974,6730,5269,4968,5217,5152,16506,6159,7309,7087,7193,7309,8077,6919
지능범죄,배임,14,0,9,1096,417,72,37,15,2698,274,706,749,753,706,823,347
풍속범죄,성풍속범죄,564,448,754,1133,1261,1833,1708,1740,3278,1501,1834,2080,1815,1970,1918,1601
풍속범죄,도박범죄,415,221,194,976,994,1348,1751,1590,5957,1510,1866,1894,1964,1932,2378,1902
특별경제범죄,특별경제범죄,2527,1845,1875,8422,6524,6044,5757,8043,23988,6113,10131,10943,10292,10365,10401,6780
마약범죄,마약범죄,244,184,145,591,641,837,829,732,3126,786,1143,1225,1118,1088,1200,769
보건범죄,보건범죄,506,270,148,1905,990,1867,980,1570,6426,1076,2288,2449,2413,2487,2545,1404
환경범죄,환경범죄,21,42,490,914,501,463,62,66,1790,335,715,764,738,732,687,378
교통범죄,교통범죄,40532,37506,54513,66856,63468,76556,84797,138810,37363,79265,80279,85163,85277,87438,91267,91712
노동범죄,노동범죄,14,11,9,620,73,29,35,87,1579,84,468,570,406,425,397,107
안보범죄,안보범죄,3,2,4,15,6,8,7,7,29,4,14,16,11,16,6,14
선거범죄,선거범죄,10,15,42,168,88,88,92,43,472,109,159,138,224,139,145,104
병역범죄,병역범죄,6,0,23,2534,610,89,80,35,13274,178,3854,4422,2431,2750,2760,256
기타범죄,기타범죄,12672,11835,11130,42558,24120,26776,24349,31567,75532,29040,39069,40675,39676,40077,40735,31267
