범죄대분류,범죄중분류,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,일,월,화,수,목,금,토
강력범죄 ,살인기수,34,25,25,37,37,46,49,60,29,46,66,52,66,41,34,37
강력범죄 ,살인미수등,51,48,34,65,50,67,76,108,88,101,81,81,79,90,78,77
강력범죄 ,강도,277,399,109,143,101,158,159,270,364,285,296,275,288,286,290,260
강력범죄 ,강간,672,793,401,305,291,324,398,723,1846,925,759,800,711,767,819,972
강력범죄 ,유사강간,19,15,7,8,13,9,5,10,46,22,15,15,18,17,19,26
강력범죄 ,강제추행,1568,1626,1265,857,911,1281,1672,2730,2868,2075,1999,2075,2118,2079,2096,2336
강력범죄 ,기타(강간·강제추행),175,291,104,86,95,97,108,163,528,273,221,200,228,229,220,276
강력범죄 ,방화,244,233,113,124,153,168,233,343,132,270,267,215,258,235,220,278
절도범죄,절도,23674,24309,19715,31528,33167,36569,44081,37964,37336,38781,40199,39239,40451,40372,43634,45667
폭력범죄 ,상해,6856,5382,3055,4000,3980,5106,6737,11925,8843,8173,7402,8028,7819,7764,7995,8703
폭력범죄 ,폭행,18379,14321,6977,7846,8357,10509,16485,31658,14167,19611,16191,17836,17643,17363,18549,21506
폭력범죄 ,체포·감금,72,73,49,105,100,97,111,118,204,131,132,149,121,134,145,117
폭력범죄 ,협박,244,195,165,543,486,495,487,599,1447,497,749,710,741,669,700,595
폭력범죄 ,약취·유인,3,3,20,30,27,18,27,12,48,23,39,27,29,28,26,16
폭력범죄 ,폭력행위등,6152,5395,2172,2358,2484,3442,4976,9018,5707,7105,5280,5570,5466,5470,5646,7167
폭력범죄 ,공갈,164,108,150,338,378,641,673,478,1380,490,682,592,585,664,724,573
폭력범죄 ,손괴,5957,4850,3445,4512,4005,5725,10224,12599,6496,8529,7586,7897,7740,7905,8511,9645
지능범죄 ,직무유기,3,4,2,161,51,22,12,6,294,44,106,92,85,81,97,50
지능범죄 ,직권남용,9,5,10,60,25,19,17,26,154,26,58,53,52,61,38,37
지능범죄 ,증수뢰,1,0,1,40,17,15,7,11,161,15,42,43,52,44,33,24
지능범죄 ,통화,28,21,45,819,335,301,157,69,2099,119,848,725,609,685,710,178
지능범죄 ,문서·인장,177,97,77,2848,1088,662,340,355,9741,788,3002,2632,2528,2633,2759,1043
지능범죄 ,유가증권인지,6,8,4,93,38,19,13,10,265,40,77,64,87,78,73,37
지능범죄 ,사기,6470,4301,2423,45224,25096,17617,11586,10387,145978,20398,46295,45449,43920,44068,45061,23891
지능범죄 ,횡령,1268,900,817,5289,2939,2630,2329,2246,16474,3511,5489,5293,5044,5338,5940,4277
지능범죄 ,배임,14,3,13,1346,319,106,34,12,2770,338,752,809,734,772,800,412
풍속범죄 ,성풍속범죄,501,431,720,1472,1358,1959,1653,1724,9567,1972,3094,2937,3015,3130,3063,2174
풍속범죄 ,도박범죄,280,147,77,394,588,1290,1673,1602,1937,911,1020,1600,1191,1025,1154,1087
특별경제범죄 ,특별경제범죄 ,2545,2068,1832,9144,5895,5155,4881,6075,33424,6609,12199,11577,10651,11006,11527,7450
마약범죄,마약범죄,148,106,66,325,320,460,511,466,2196,463,757,681,696,699,781,521
보건범죄,보건범죄,636,378,154,4084,2090,1752,1208,1967,8114,952,3426,3541,4915,3015,2959,1575
환경범죄,환경범죄,19,24,96,1623,490,369,66,70,1378,230,666,713,611,619,1050,246
교통범죄,교통범죄,41457,31388,42961,49310,50490,62000,76543,173041,46263,75094,75153,79694,81327,82147,90658,89380
노동범죄,노동범죄,29,14,21,560,59,41,86,166,745,101,269,336,316,290,266,143
안보범죄,안보범죄,1,1,3,15,14,12,15,4,70,19,19,13,25,15,18,26
선거범죄,선거범죄,5,9,23,72,51,53,33,16,136,37,52,43,112,48,59,47
병역범죄,병역범죄,16,2,36,4473,822,167,113,26,20518,329,6535,7420,3574,4048,3990,277
기타범죄,기타범죄,9820,11610,8205,31332,15852,14468,13865,22317,61487,19808,28841,28410,29775,28435,30155,23532
